2025-11-29 19:14:41,751 INFO    MainThread:136496 [wandb_setup.py:_flush():81] Current SDK version is 0.22.3
2025-11-29 19:14:41,752 INFO    MainThread:136496 [wandb_setup.py:_flush():81] Configure stats pid to 136496
2025-11-29 19:14:41,752 INFO    MainThread:136496 [wandb_setup.py:_flush():81] Loading settings from /home/anavarror/.config/wandb/settings
2025-11-29 19:14:41,752 INFO    MainThread:136496 [wandb_setup.py:_flush():81] Loading settings from /home/anavarror/wandb/settings
2025-11-29 19:14:41,752 INFO    MainThread:136496 [wandb_setup.py:_flush():81] Loading settings from environment variables
2025-11-29 19:14:41,752 INFO    MainThread:136496 [wandb_init.py:setup_run_log_directory():706] Logging user logs to /home/anavarror/wandb/run-20251129_191441-wpzcyp6y/logs/debug.log
2025-11-29 19:14:41,752 INFO    MainThread:136496 [wandb_init.py:setup_run_log_directory():707] Logging internal logs to /home/anavarror/wandb/run-20251129_191441-wpzcyp6y/logs/debug-internal.log
2025-11-29 19:14:41,752 INFO    MainThread:136496 [wandb_init.py:init():833] calling init triggers
2025-11-29 19:14:41,752 INFO    MainThread:136496 [wandb_init.py:init():838] wandb.init called with sweep_config: {}
config: {'model_type': 'DoubleDQN', 'use_prioritized_replay': True, 'learning_rate': 0.0001, 'batch_size': 32, 'gamma': 0.99, 'epsilon_start': 1.0, 'epsilon_decay': 0.95, 'min_epsilon': 0.01, 'dnn_update_freq': 4, 'dnn_sync_freq': 1000, 'buffer_capacity': 100000, 'burn_in': 10000, 'device': 'cuda', '_wandb': {}}
2025-11-29 19:14:41,752 INFO    MainThread:136496 [wandb_init.py:init():881] starting backend
2025-11-29 19:14:41,974 INFO    MainThread:136496 [wandb_init.py:init():884] sending inform_init request
2025-11-29 19:14:41,985 INFO    MainThread:136496 [wandb_init.py:init():892] backend started and connected
2025-11-29 19:14:41,987 INFO    MainThread:136496 [wandb_init.py:init():962] updated telemetry
2025-11-29 19:14:41,988 INFO    MainThread:136496 [wandb_init.py:init():986] communicating run to backend with 90.0 second timeout
2025-11-29 19:14:42,690 INFO    MainThread:136496 [wandb_init.py:init():1033] starting run threads in backend
2025-11-29 19:14:42,913 INFO    MainThread:136496 [wandb_run.py:_console_start():2506] atexit reg
2025-11-29 19:14:42,913 INFO    MainThread:136496 [wandb_run.py:_redirect():2354] redirect: wrap_raw
2025-11-29 19:14:42,913 INFO    MainThread:136496 [wandb_run.py:_redirect():2423] Wrapping output streams.
2025-11-29 19:14:42,913 INFO    MainThread:136496 [wandb_run.py:_redirect():2446] Redirects installed.
2025-11-29 19:14:42,919 INFO    MainThread:136496 [wandb_init.py:init():1073] run started, returning control to user process
2025-11-29 19:14:42,919 INFO    MainThread:136496 [wandb_run.py:_config_callback():1390] config_cb None None {'alpha': 0.6, 'beta_start': 0.4, 'beta_frames': 500000}
2025-11-29 22:59:09,258 INFO    MainThread:136496 [wandb_run.py:_finish():2272] finishing run 1670797uab-universitat-aut-noma-de-barcelona/Project_Paradigms/wpzcyp6y
2025-11-29 22:59:09,259 INFO    MainThread:136496 [wandb_run.py:_atexit_cleanup():2471] got exitcode: 0
2025-11-29 22:59:09,259 INFO    MainThread:136496 [wandb_run.py:_restore():2453] restore
2025-11-29 22:59:09,260 INFO    MainThread:136496 [wandb_run.py:_restore():2459] restore done
2025-11-29 22:59:10,387 INFO    MainThread:136496 [wandb_run.py:_footer_sync_info():3835] logging synced files
