2025-12-08 21:30:34,025 INFO    MainThread:33996 [wandb_setup.py:_flush():80] Current SDK version is 0.23.0
2025-12-08 21:30:34,026 INFO    MainThread:33996 [wandb_setup.py:_flush():80] Configure stats pid to 33996
2025-12-08 21:30:34,026 INFO    MainThread:33996 [wandb_setup.py:_flush():80] Loading settings from C:\Users\Iván\.config\wandb\settings
2025-12-08 21:30:34,026 INFO    MainThread:33996 [wandb_setup.py:_flush():80] Loading settings from c:\Users\Iván\Desktop\Project-PML-Pong\Project-PML-Pong\wandb\settings
2025-12-08 21:30:34,026 INFO    MainThread:33996 [wandb_setup.py:_flush():80] Loading settings from environment variables
2025-12-08 21:30:34,026 INFO    MainThread:33996 [wandb_init.py:setup_run_log_directory():713] Logging user logs to c:\Users\Iván\Desktop\Project-PML-Pong\Project-PML-Pong\wandb\run-20251208_213034-ugq3lxbt\logs\debug.log
2025-12-08 21:30:34,026 INFO    MainThread:33996 [wandb_init.py:setup_run_log_directory():714] Logging internal logs to c:\Users\Iván\Desktop\Project-PML-Pong\Project-PML-Pong\wandb\run-20251208_213034-ugq3lxbt\logs\debug-internal.log
2025-12-08 21:30:34,026 INFO    MainThread:33996 [wandb_init.py:init():840] calling init triggers
2025-12-08 21:30:34,026 INFO    MainThread:33996 [wandb_init.py:init():845] wandb.init called with sweep_config: {}
config: {'policy_type': 'CnnPolicy', 'total_timesteps': 10000000, 'env_name': 'ALE/Skiing-v5', 'export_path': './exports/', 'n_envs': 8, 'n_steps': 128, 'batch_size': 256, 'n_epochs': 4, 'gamma': 0.99, 'gae_lambda': 0.95, 'clip_range': 0.1, 'ent_coef': 0.01, 'vf_coef': 0.5, 'max_grad_norm': 0.5, 'learning_rate': 0.00025, '_wandb': {'code_path': 'code/Part_3/main_aina.py'}}
2025-12-08 21:30:34,026 INFO    MainThread:33996 [wandb_init.py:init():888] starting backend
2025-12-08 21:30:36,317 INFO    MainThread:33996 [wandb_init.py:init():891] sending inform_init request
2025-12-08 21:30:36,330 INFO    MainThread:33996 [wandb_init.py:init():899] backend started and connected
2025-12-08 21:30:36,349 INFO    MainThread:33996 [wandb_init.py:init():969] updated telemetry
2025-12-08 21:30:36,387 INFO    MainThread:33996 [wandb_init.py:init():993] communicating run to backend with 90.0 second timeout
2025-12-08 21:30:36,870 INFO    MainThread:33996 [wandb_init.py:init():1040] starting run threads in backend
2025-12-08 21:30:37,641 INFO    MainThread:33996 [wandb_run.py:_console_start():2504] atexit reg
2025-12-08 21:30:37,641 INFO    MainThread:33996 [wandb_run.py:_redirect():2352] redirect: wrap_raw
2025-12-08 21:30:37,642 INFO    MainThread:33996 [wandb_run.py:_redirect():2421] Wrapping output streams.
2025-12-08 21:30:37,642 INFO    MainThread:33996 [wandb_run.py:_redirect():2444] Redirects installed.
2025-12-08 21:30:37,644 INFO    MainThread:33996 [wandb_init.py:init():1080] run started, returning control to user process
2025-12-08 21:30:47,833 INFO    wandb-AsyncioManager-main:33996 [service_client.py:_forward_responses():80] Reached EOF.
2025-12-08 21:30:47,833 INFO    wandb-AsyncioManager-main:33996 [mailbox.py:close():137] Closing mailbox, abandoning 1 handles.
